assembly_district,GOVTOT22,GOVDEM22,GOVREP22,WSATOT22,WSADEM22,WSAREP22,WAGTOT22,WAGDEM22,WAGREP22,USHTOT22,USHDEM22,USHREP22,SOSTOT22,SOSDEM22,SOSREP22,USSTOT22,USSDEM22,USSREP22,WSSTOT22,WSSDEM22,WSSREP22,WSTTOT22,WSTDEM22,WSTREP22
1,32080,14156,17566,31806,11916,19864,31907,14186,17713,30683,0,21434,31792,13381,17460,32117,13428,18637,31884,12917,18951,31517,12986,17862
2,27948,12030,15582,27226,11093,16112,27635,12020,15600,24935,0,19308,27545,11236,15268,27852,11481,16319,27612,10746,16842,27418,10941,15728
3,28476,12646,15548,21539,0,21179,28194,12545,15642,26111,0,18999,28125,11711,15441,28394,12071,16296,27924,11700,16216,27916,11399,15824
4,28241,13905,13994,27661,12287,15348,28020,13687,14309,26194,0,18045,27872,12923,13896,28165,13220,14886,NA,NA,NA,27703,12597,14423
5,26114,11118,14716,25538,10258,15280,25807,10985,14822,24232,0,17861,25803,10281,14583,26025,10611,15406,NA,NA,NA,25550,10009,14885
6,26972,8517,18136,26457,7694,14710,26772,8608,18163,25837,0,20701,26686,7802,17886,26883,8040,18837,NA,NA,NA,26535,7647,18234
7,20816,12952,7588,20185,12476,7690,20628,12799,7802,20623,12168,7882,20518,12202,7335,20833,12690,8081,20472,12918,7533,20371,12151,7669
8,8010,6504,1414,6700,6573,0,7962,6380,1572,7955,6267,1499,7840,6034,1450,8094,6503,1569,7864,6201,1656,7839,6152,1525
9,12362,9038,3184,12007,8644,3345,12270,8869,3385,12304,8688,3310,12156,8472,3132,12474,8934,3496,12197,8839,3347,12080,8533,3244
10,24357,20914,3261,20984,20730,0,24098,20571,3506,24223,20436,3410,23946,19897,3223,24496,20964,3488,NA,NA,NA,23758,20018,3491
11,16051,14243,1636,14456,14311,0,15882,14055,1800,16115,14248,1642,15713,13599,1580,16273,14510,1735,NA,NA,NA,15642,13770,1661
12,17723,14062,3493,17476,13770,3688,17625,13919,3689,17744,13838,3595,17506,13525,3420,17890,14136,3723,NA,NA,NA,17384,13572,3534
13,33862,15921,17687,33261,14523,18712,33510,15197,18292,32914,14253,18574,33464,14645,17844,33813,15021,18707,33178,13907,19245,33007,14087,18477
14,28506,18243,9982,27946,17703,10219,28246,17785,10445,28084,16919,10581,28146,17176,9822,28479,17792,10614,28020,16966,11020,27928,16976,10403
15,31739,13649,17824,22526,0,21582,31360,13262,18076,30756,12277,18410,31275,12797,17505,31648,12993,18577,30886,12089,18760,30855,12252,18079
16,15627,14240,1233,14337,14158,0,15471,13944,1499,15694,14133,1316,15348,13320,1291,15833,14493,1314,NA,NA,NA,15257,13611,1425
17,21830,18493,3108,21412,17966,3410,21693,18285,3371,21885,18229,3277,21487,17615,3087,22013,18708,3270,NA,NA,NA,21400,17826,3233
18,20152,16953,3010,17578,17306,0,19994,16669,3295,20111,16523,3197,19817,16033,2985,20293,17054,3196,NA,NA,NA,19732,16195,3218
19,28760,24084,4451,24622,24193,0,28560,23613,4917,28666,23131,4860,28445,22444,4454,28884,24013,4823,28357,23557,4761,28265,22807,4996
20,27556,18150,9105,26936,17863,9043,27256,17924,9307,27244,17127,9560,27125,17163,8765,27541,17759,9700,27120,18017,9078,26921,17155,9179
21,25628,12806,12558,25309,11580,13712,25260,12500,12736,25319,11551,13582,25257,12065,12234,25582,12347,13185,25193,12678,12494,25058,11789,12742
22,35396,13226,21909,34512,12210,22278,35020,12686,22322,34562,11766,22779,34942,12223,21789,35333,12449,22830,NA,NA,NA,34539,11628,22334
23,34478,21992,12278,33853,21236,12589,34215,21284,12908,30075,14373,14450,34079,20691,12421,34454,21262,13112,NA,NA,NA,33770,20190,13181
24,32278,13615,18395,31725,12311,19397,32041,13156,18872,28527,7011,20667,31918,12520,18380,32244,12889,19318,NA,NA,NA,31695,12145,18980
25,25443,9903,15169,19919,0,19344,25184,10170,15002,20057,0,18994,25087,9587,14586,25370,9448,15870,19803,0,19173,24924,9103,15143
26,26009,10576,15100,25574,9492,16061,25672,10398,15257,19570,0,18315,25672,9953,14740,25972,10165,15742,20106,0,18517,25456,9661,15177
27,28626,12318,15951,26599,0,17132,28245,12189,16033,21311,0,19842,28247,11555,15641,28538,11701,16775,21856,0,20146,28012,11202,16136
28,26385,10143,15833,26397,9901,16494,26323,9885,16435,26368,9673,16689,26321,9411,15832,26379,9801,16569,NA,NA,NA,26230,9507,16059
29,23916,10011,13577,23848,9523,14321,23791,9833,13952,23856,9570,14281,23823,9208,13588,23889,9489,14393,NA,NA,NA,23714,9316,13764
30,30407,13514,16566,30301,12557,17719,30212,13055,17145,30288,12927,17337,30255,12467,16503,30409,13060,17310,NA,NA,NA,30197,12499,16999
31,25227,11324,13552,24858,10134,14704,24962,10822,14126,25069,10150,14642,25022,9876,14384,25170,10775,14333,24928,10226,14680,24730,10115,14000
32,25283,10212,14709,25053,9269,15757,25154,9887,15250,25265,9093,15858,25178,9075,15309,25266,9780,15418,25118,9398,15697,24955,9208,15189
33,27506,13577,13611,27202,13462,13709,27212,13110,14083,27157,12450,14623,27205,12472,13746,27398,13025,14323,27077,12463,14597,26985,12435,13827
34,32585,13416,18763,32386,12373,20004,32423,13513,18897,32518,12668,19830,32304,12538,18724,32502,12754,19683,NA,NA,NA,32105,12317,19111
35,29065,10274,18353,27913,0,19481,28774,10607,18162,28823,8317,19533,28747,9748,18071,28972,9726,19206,NA,NA,NA,28558,9473,18364
36,28327,9219,18736,27980,8262,19698,28106,9427,18674,27245,1934,20918,27999,8698,18403,28282,8763,19475,NA,NA,NA,27825,8454,18696
37,28324,13084,14915,27509,12154,15343,28026,12603,15414,27115,10794,15951,27978,12065,14795,28171,12542,15591,20703,0,19731,27755,11877,15139
38,31187,13920,16951,22464,0,21399,30848,13363,17478,30658,12757,17736,30768,12875,16805,31085,13250,17780,22692,0,21612,30470,12552,17264
39,27157,9747,17103,20775,0,20284,26853,9716,17133,22429,3014,19336,26768,9237,16598,26936,9480,17446,20540,0,20474,26556,8986,16884
40,26937,9175,17431,25716,0,19361,26772,9266,17498,25268,0,20120,26735,8629,17199,26925,8775,18108,NA,NA,NA,26579,8439,17434
41,24926,10437,14136,19339,0,18736,24700,10115,14570,20929,3085,17306,24643,9641,14089,24870,9916,14904,NA,NA,NA,24379,9364,14292
42,27924,11762,15863,27595,10969,16608,27589,11326,16251,20923,0,20166,27620,10934,15716,27844,11211,16600,NA,NA,NA,27316,10581,15933
43,32209,20867,11007,31610,19681,11903,31880,20009,11841,31912,19842,11455,31850,19354,11298,32107,20105,11904,31630,20128,11471,31557,19308,11420
44,23027,14410,8345,22730,14192,8524,22746,13754,8975,22918,13233,9496,22854,13125,8994,22915,13833,9040,22700,14017,8669,22646,13311,8646
45,21152,12136,8698,20872,11636,9221,20880,11519,9349,20934,11416,9065,20959,11095,9099,21066,11611,9400,20930,12047,8866,20741,11125,8983
46,30230,21725,8261,29735,20710,9001,29978,20928,9028,29933,20719,8555,29856,20320,8361,30124,21116,8930,NA,NA,NA,29652,20177,8859
47,30437,24714,5517,29842,23843,5975,30222,24074,6135,30194,23760,5849,30099,23300,5630,30395,24214,6120,NA,NA,NA,29926,23495,5959
48,31425,27090,4165,27518,27089,0,31226,26553,4646,31207,26308,4381,31145,25794,4169,31375,26679,4626,NA,NA,NA,30932,25939,4526
49,23458,10807,12338,23369,8725,14626,23248,10206,13023,23256,10028,13202,23235,9968,12392,23482,10170,13267,23350,9180,14160,23041,9758,12732
50,24094,10211,13514,24042,8524,15514,23928,9772,14147,23930,9616,14126,23914,9413,13685,24066,9596,14444,24020,8679,15336,23845,9285,13878
51,26546,13766,12469,26320,11546,14760,26265,13054,13205,26334,13058,12644,26214,12853,12462,26451,12935,13478,26455,11539,14909,25959,12452,12865
52,24684,9904,14513,24179,9108,15055,24473,9610,14863,18486,0,18093,24298,9344,14096,24617,9566,15027,NA,NA,NA,23996,9011,14388
53,26666,9944,16468,20829,0,20336,26366,9821,16538,20329,0,19669,26252,9215,16140,26569,9354,17162,NA,NA,NA,26007,8847,16457
54,22744,12848,9605,22538,12124,10382,22501,12684,9792,15194,0,13695,22412,11787,9493,22666,12381,10237,NA,NA,NA,22208,11769,9761
55,28179,13457,14370,27686,12571,15098,27867,13296,14554,20894,0,18515,27789,12299,14258,28061,12860,15132,27815,12122,15675,27601,12118,14700
56,29162,12977,15910,28585,11710,16875,28894,12763,16131,26881,0,19555,28789,11899,15885,29034,12290,16744,28670,11491,17179,28618,11532,16363
57,23297,13878,9069,22871,13577,9282,23027,13732,9286,18515,0,12304,22984,12834,8946,23179,13501,9654,22853,12834,10004,22799,12789,9216
58,30721,9886,20566,30428,9047,21381,30536,9675,20861,30504,9080,21424,30482,9212,20297,30726,9430,21296,NA,NA,NA,30185,8915,20685
59,31209,8474,22492,25881,0,25716,30848,8436,22404,28472,3541,24435,30759,8038,21768,31097,8022,23058,NA,NA,NA,30476,7624,22216
60,33641,12335,21012,33061,11636,21396,33403,11980,21401,27136,1513,24143,33257,11323,20845,33590,11719,21800,NA,NA,NA,33064,11070,21394
61,27956,10811,16818,27408,9851,17542,27666,10603,17050,27825,9702,17926,27666,10011,16690,27857,10390,17409,21339,0,20173,27519,9946,16966
62,30151,12479,17378,29719,11445,18236,29959,12320,17618,30097,11240,18678,29908,11785,17164,30195,12102,18030,23118,0,21737,29717,11521,17619
63,27401,11159,15902,23262,0,16977,27233,11037,16173,27325,9916,17201,27139,10500,15706,27408,10671,16647,21002,0,19711,26928,10245,16119
64,22889,12658,9973,22690,12873,9799,22702,12524,10162,22797,11761,10884,22674,12057,9810,22869,12414,10402,NA,NA,NA,22533,11987,10125
65,18058,10709,7075,17863,11035,6803,17866,10681,7165,17964,10041,7786,17897,10237,6930,18053,10566,7430,NA,NA,NA,17755,10237,7121
66,15774,10796,4760,14765,11261,0,15661,10664,4974,15756,10277,5309,15679,10266,4658,15872,10784,5044,NA,NA,NA,15588,10335,4869
67,27251,11514,15373,26709,9807,16889,27050,11676,15361,27047,10871,16163,26958,10718,15146,26910,10678,16172,21571,0,20276,26774,10550,15497
68,24033,10608,13091,23627,9273,14338,23860,10743,13109,23869,10039,13813,23770,9794,13016,23767,9743,13978,19452,0,18237,23650,9751,13213
69,23634,9241,14050,23389,8345,15032,23423,9394,14022,23539,8567,14956,23382,8613,13958,23593,8718,14841,18504,0,17878,23268,8419,14096
70,25759,10274,15122,25542,8669,16856,25565,10395,15160,25493,9674,15799,25521,9590,15057,25704,9621,16022,NA,NA,NA,25396,9481,15190
71,27954,15492,12157,27923,15930,11976,27643,15352,12275,27736,14824,12899,27662,14493,12017,27881,14887,12952,NA,NA,NA,27465,14466,12272
72,26599,10546,15666,26511,10027,16473,26414,10628,15777,24982,7561,17406,26421,9976,15553,26595,9994,16553,NA,NA,NA,26302,9758,15761
73,26211,13225,12652,26101,12778,13268,26098,12855,13230,26232,12638,13582,26138,12524,12683,26275,12756,13496,26286,12562,13711,26085,12557,12935
74,30521,14977,15218,30293,14276,16006,30235,14792,15434,30407,14255,16141,30267,14242,15025,30482,14410,16035,30425,14304,16112,30142,14253,15285
75,26259,9860,15976,21469,0,20730,26180,9772,16397,26230,9319,16901,26133,9288,15983,26214,9352,16830,26273,8786,17470,26087,9275,16241
76,30159,27370,2618,28154,27702,0,29881,26724,3112,29964,26468,2884,29815,25460,2738,30279,27399,2826,NA,NA,NA,29643,25915,3331
77,30900,28002,2752,28205,27839,0,30673,27505,3146,30809,27273,2957,30591,26505,2847,31041,27926,3066,NA,NA,NA,30390,26816,3215
78,33191,27680,5290,32696,26817,5845,32954,26946,5988,32968,26572,5690,32845,26084,5470,33163,27185,5908,NA,NA,NA,32589,26106,5984
79,33683,25512,7951,33015,24469,8514,33446,24657,8766,33426,24391,8408,33318,24018,8140,33620,24767,8780,33220,24822,8379,33047,23765,8763
80,34250,24441,9520,33563,23380,10156,34024,23625,10378,33981,23317,9968,33885,22964,9697,34165,23661,10420,33703,23607,10072,33593,22766,10204
81,30114,17887,11886,29695,17490,12192,29830,17211,12610,29218,15869,12602,29759,16683,11891,30025,17125,12843,29611,17189,12412,29566,16432,12412
82,30105,13519,16331,29442,12715,16705,29728,13175,16534,29575,11880,17568,29619,12626,16145,30025,12838,17111,NA,NA,NA,29313,12195,16662
83,33668,10594,22756,30730,0,24153,33343,10256,23064,32949,9440,23446,33302,9688,22546,33595,9971,23553,NA,NA,NA,32944,9378,22921
84,26032,13771,12000,25849,12653,13179,25741,13485,12234,25625,12664,12736,25577,12991,11707,25975,13188,12742,NA,NA,NA,25392,12706,12158
85,24640,11715,12619,24358,10659,13689,24488,11679,12803,24442,10935,13493,24461,11027,12537,24554,11256,13252,24373,11077,13278,24194,10767,12823
86,28681,11207,17140,22876,0,22224,28481,11313,17157,28492,10333,18137,28435,10617,17022,28615,10559,18004,28457,10504,17922,28230,10227,17322
87,26839,8915,17539,26667,8127,18532,26665,9175,17480,26649,8314,18328,26633,8506,17344,26741,8451,18271,26624,8217,18402,26488,8264,17610
88,25240,11705,13299,24854,10384,14451,25016,11562,13433,23534,0,16680,24914,10899,13090,25170,11111,14005,NA,NA,NA,24744,10540,13621
89,26636,9464,16816,26329,8800,17514,26453,9399,17031,25439,0,19571,26362,8746,16635,26617,8911,17640,NA,NA,NA,26209,8467,17060
90,17035,10192,6546,16725,9885,6818,16869,10080,6770,15421,0,8795,16791,9434,6452,16967,9925,6989,NA,NA,NA,16662,9437,6667
91,25875,17037,8541,25484,16465,8995,25665,16870,8771,25659,16589,9040,25604,15642,8570,25546,16316,9165,25607,16945,8637,25484,15924,8883
92,24843,10278,14199,24746,9053,15680,24705,10378,14318,24815,9925,14887,24656,9485,14261,24811,9545,15242,24763,10271,14476,24421,9497,14256
93,26902,11642,14875,26786,10775,16003,26789,11505,15275,26847,11310,15525,26779,10800,14851,26846,11097,15723,26853,11720,15126,26687,10913,15116
94,28824,14792,13688,28907,14826,14070,28612,14742,13857,28893,14750,14120,28491,13616,13734,28870,13944,14873,NA,NA,NA,28335,13407,14179
95,25526,16989,8166,25285,16897,8366,25247,16766,8462,25449,16786,8632,25173,15561,8193,25530,16431,9040,NA,NA,NA,24943,15617,8606
96,25286,11702,13241,25308,10483,14814,25113,11841,13259,25250,11466,13765,25097,10960,13233,25227,10929,14259,NA,NA,NA,24932,10845,13416
97,29591,11979,17369,21521,0,20691,29231,11487,17727,28704,10695,17983,29154,11003,17181,29525,11364,18111,21439,0,20550,28725,10638,17544
98,28789,12313,16214,27757,11304,16439,28436,11792,16632,27986,10984,16989,28399,11303,16187,28684,11602,17022,20748,0,19927,28011,10918,16586
99,36154,12221,23672,34791,10558,24196,35772,11680,24073,35259,10825,24410,35743,11139,23641,36100,11469,24535,27651,0,26846,35213,10578,24119
